source_event_id,run_id,household_id,request_start_date,request_end_date,request_meal_types,skip_existing,plan_date,meal_type,weekday_index,is_weekend,suggestion_action,suggested_recipe_id,suggested_recipe_name,suggested_categoria_alimentar,suggested_proteina_principal,suggested_adequado_refeicao,suggested_recipe_ingredient_count,suggested_recipe_distinct_ingredient_count,suggested_recipe_profile_flag_count,suggested_recipe_has_arroz_ingredient,suggested_recipe_has_massa_ingredient,suggested_recipe_has_batata_ingredient,suggested_recipe_has_ovos_ingredient,suggested_recipe_has_peixe_marisco_ingredient,suggested_recipe_has_frango_aves_ingredient,suggested_recipe_has_vaca_ingredient,suggested_recipe_has_porco_ingredient,suggested_recipe_has_queijo_lacticinios_ingredient,suggested_recipe_has_leguminosas_ingredient,suggested_recipe_has_tomate_ingredient,suggested_recipe_has_cebola_alho_ingredient,score,average_rating,ratings_count,reasons,lifecycle_count,latest_lifecycle_event_kind,latest_execution_status,final_recipe_id,final_recipe_name,outcome_label,accepted_as_suggested,changed_recipe,deleted_after_apply
15,8d766d4f-bc84-4fe4-a38c-5f5efd8a1a14,1,2026-04-19,2026-05-02,"[""jantar""]",1,2026-04-19,jantar,6,1,suggest,17,Bacalhau com grão,peixe,peixe,ambos,11,11,4,0,0,0,1,1,0,0,0,0,1,0,1,99.0,5.0,1,"[""receita favorita da família"", ""ajuda ao equilíbrio semanal entre carne, peixe e vegetariano""]",0,,,17,Bacalhau com grão,accepted_as_suggested,1,0,0
16,8d766d4f-bc84-4fe4-a38c-5f5efd8a1a14,1,2026-04-19,2026-05-02,"[""jantar""]",1,2026-04-20,jantar,0,0,suggest,7,Feijão com arroz,carne,ovos,ambos,13,13,6,1,0,0,1,0,0,0,1,0,1,1,1,99.0,5.0,1,"[""receita favorita da família"", ""ajuda ao equilíbrio semanal entre carne, peixe e vegetariano""]",1,post_apply_update,recipe_replaced,4,Mac and Cheese,accepted_with_recipe_change,0,1,0
17,8d766d4f-bc84-4fe4-a38c-5f5efd8a1a14,1,2026-04-19,2026-05-02,"[""jantar""]",1,2026-04-21,jantar,1,0,suggest,26,Bacalhau com legumes (revista robot de cozinha),peixe,peixe,ambos,12,12,4,0,0,1,0,1,0,0,0,1,0,0,1,85.0,5.0,1,"[""receita favorita da família""]",0,,,26,Bacalhau com legumes (revista robot de cozinha),accepted_as_suggested,1,0,0
18,8d766d4f-bc84-4fe4-a38c-5f5efd8a1a14,1,2026-04-19,2026-05-02,"[""jantar""]",1,2026-04-22,jantar,2,0,suggest,28,Bifanas com natas,carne,porco,ambos,6,6,2,0,0,0,0,0,0,0,0,1,1,0,0,84.0,4.0,1,"[""boa aceitação familiar"", ""ajuda à rotação semanal entre tipos de carne""]",1,post_apply_update,recipe_replaced,18,Frango com massa,accepted_with_recipe_change,0,1,0
19,8d766d4f-bc84-4fe4-a38c-5f5efd8a1a14,1,2026-04-19,2026-05-02,"[""jantar""]",1,2026-04-23,jantar,3,0,suggest,43,Gratinado de legumes e salmão,peixe,peixe,ambos,14,14,6,0,0,1,1,1,0,0,0,1,1,0,1,62.0,4.0,1,"[""boa aceitação familiar"", ""categoria já está acima do equilíbrio desta semana""]",0,,,43,Gratinado de legumes e salmão,accepted_as_suggested,1,0,0
20,8d766d4f-bc84-4fe4-a38c-5f5efd8a1a14,1,2026-04-19,2026-05-02,"[""jantar""]",1,2026-04-24,jantar,4,0,suggest,2,Peito de frango à la pizza,carne,frango,ambos,8,8,4,0,0,0,0,0,1,0,0,1,1,0,1,72.0,4.0,1,"[""boa aceitação familiar"", ""categoria já está acima do equilíbrio desta semana"", ""ajuda à rotação semanal entre tipos de carne""]",0,,,2,Peito de frango à la pizza,accepted_as_suggested,1,0,0
21,8d766d4f-bc84-4fe4-a38c-5f5efd8a1a14,1,2026-04-19,2026-05-02,"[""jantar""]",1,2026-04-25,jantar,5,1,suggest,11,Peixe cozido,peixe,peixe,ambos,10,10,5,0,0,1,1,1,0,0,0,0,1,0,1,62.0,4.0,1,"[""boa aceitação familiar"", ""categoria já está acima do equilíbrio desta semana""]",1,post_apply_update,recipe_replaced,31,Massinha de Peixe,accepted_with_recipe_change,0,1,0
22,8d766d4f-bc84-4fe4-a38c-5f5efd8a1a14,1,2026-04-19,2026-05-02,"[""jantar""]",1,2026-04-26,jantar,6,1,suggest,34,Rancho,carne,porco,ambos,12,12,5,0,1,0,0,0,0,0,1,0,1,1,1,98.0,4.0,1,"[""boa aceitação familiar"", ""ajuda ao equilíbrio semanal entre carne, peixe e vegetariano"", ""ajuda à rotação semanal entre tipos de carne""]",0,,,34,Rancho,accepted_as_suggested,1,0,0
23,8d766d4f-bc84-4fe4-a38c-5f5efd8a1a14,1,2026-04-19,2026-05-02,"[""jantar""]",1,2026-04-27,jantar,0,0,suggest,3,Perca do nilo no forno,peixe,peixe,ambos,7,7,3,0,0,1,0,0,0,0,0,0,0,1,1,77.0,3.0,1,"[""ajuda ao equilíbrio semanal entre carne, peixe e vegetariano""]",1,post_apply_update,recipe_replaced,7,Feijão com arroz,accepted_with_recipe_change,0,1,0
24,8d766d4f-bc84-4fe4-a38c-5f5efd8a1a14,1,2026-04-19,2026-05-02,"[""jantar""]",1,2026-04-28,jantar,1,0,suggest,23,Bolonhesa,carne,,ambos,11,11,5,0,1,0,0,0,0,1,0,1,0,1,1,81.0,5.0,1,"[""receita favorita da família"", ""proteína principal ainda por definir""]",0,,,23,Bolonhesa,accepted_as_suggested,1,0,0
