source_event_id,run_id,household_id,request_start_date,request_end_date,request_meal_types,skip_existing,plan_date,meal_type,weekday_index,is_weekend,suggestion_action,suggested_recipe_id,suggested_recipe_name,suggested_categoria_alimentar,suggested_proteina_principal,suggested_adequado_refeicao,score,average_rating,ratings_count,reasons,lifecycle_count,latest_lifecycle_event_kind,latest_execution_status,final_recipe_id,final_recipe_name,outcome_label,accepted_as_suggested,changed_recipe,deleted_after_apply
33,5c4979b2-424d-442d-adfa-2eed69a018c9,1,2026-04-19,2026-04-26,"[""almoco"", ""jantar""]",1,2026-04-19,almoco,6,1,suggest,28,Bifanas com natas,carne,porco,ambos,82.0,,0,"[""sem avaliações, tratada como opção neutra"", ""ajuda ao equilíbrio entre carne, peixe e vegetariano"", ""ajuda à rotação entre tipos de carne""]",0,,,28,Bifanas com natas,accepted_as_suggested,1,0,0
34,5c4979b2-424d-442d-adfa-2eed69a018c9,1,2026-04-19,2026-04-26,"[""almoco"", ""jantar""]",1,2026-04-19,jantar,6,1,suggest,25,Arroz de bacalhau,peixe,peixe,ambos,74.0,,0,"[""sem avaliações, tratada como opção neutra"", ""ajuda ao equilíbrio entre carne, peixe e vegetariano""]",0,,,25,Arroz de bacalhau,accepted_as_suggested,1,0,0
35,5c4979b2-424d-442d-adfa-2eed69a018c9,1,2026-04-19,2026-04-26,"[""almoco"", ""jantar""]",1,2026-04-20,almoco,0,0,suggest,40,Bifes de peru com cogumelos,carne,peru,ambos,70.0,,0,"[""sem avaliações, tratada como opção neutra"", ""ajuda à rotação entre tipos de carne""]",1,post_apply_update,recipe_replaced,31,Massinha de Peixe,accepted_with_recipe_change,0,1,0
36,5c4979b2-424d-442d-adfa-2eed69a018c9,1,2026-04-19,2026-04-26,"[""almoco"", ""jantar""]",1,2026-04-20,jantar,0,0,suggest,17,Bacalhau com grão,peixe,peixe,ambos,62.0,,0,"[""sem avaliações, tratada como opção neutra""]",1,post_apply_update,recipe_replaced,13,Chili,accepted_with_recipe_change,0,1,0
37,5c4979b2-424d-442d-adfa-2eed69a018c9,1,2026-04-19,2026-04-26,"[""almoco"", ""jantar""]",1,2026-04-21,almoco,1,0,suggest,20,Carne de vaca guisada,carne,vaca,ambos,62.0,,0,"[""sem avaliações, tratada como opção neutra"", ""ajuda à rotação entre tipos de carne""]",0,,,20,Carne de vaca guisada,accepted_as_suggested,1,0,0
38,5c4979b2-424d-442d-adfa-2eed69a018c9,1,2026-04-19,2026-04-26,"[""almoco"", ""jantar""]",1,2026-04-21,jantar,1,0,suggest,26,Bacalhau com legumes (revista robot de cozinha),peixe,peixe,ambos,54.0,,0,"[""sem avaliações, tratada como opção neutra""]",0,,,26,Bacalhau com legumes (revista robot de cozinha),accepted_as_suggested,1,0,0
39,5c4979b2-424d-442d-adfa-2eed69a018c9,1,2026-04-19,2026-04-26,"[""almoco"", ""jantar""]",1,2026-04-22,almoco,2,0,suggest,30,Frango ao Lagar,carne,frango,ambos,62.0,,0,"[""sem avaliações, tratada como opção neutra"", ""ajuda à rotação entre tipos de carne""]",1,post_apply_update,recipe_replaced,17,Bacalhau com grão,accepted_with_recipe_change,0,1,0
40,5c4979b2-424d-442d-adfa-2eed69a018c9,1,2026-04-19,2026-04-26,"[""almoco"", ""jantar""]",1,2026-04-22,jantar,2,0,suggest,16,Douradinhos,peixe,peixe,ambos,54.0,,0,"[""sem avaliações, tratada como opção neutra""]",1,post_apply_update,recipe_replaced,5,Escalopes ao vinho Madeira,accepted_with_recipe_change,0,1,0
41,5c4979b2-424d-442d-adfa-2eed69a018c9,1,2026-04-19,2026-04-26,"[""almoco"", ""jantar""]",1,2026-04-23,almoco,3,0,suggest,6,Bifes de perú com limão,carne,peru,ambos,54.0,,0,"[""sem avaliações, tratada como opção neutra""]",0,,,6,Bifes de perú com limão,accepted_as_suggested,1,0,0
42,5c4979b2-424d-442d-adfa-2eed69a018c9,1,2026-04-19,2026-04-26,"[""almoco"", ""jantar""]",1,2026-04-23,jantar,3,0,suggest,43,Gratinado de legumes e salmão,peixe,peixe,ambos,54.0,,0,"[""sem avaliações, tratada como opção neutra""]",0,,,43,Gratinado de legumes e salmão,accepted_as_suggested,1,0,0
43,5c4979b2-424d-442d-adfa-2eed69a018c9,1,2026-04-19,2026-04-26,"[""almoco"", ""jantar""]",1,2026-04-24,almoco,4,0,suggest,27,Carne de porco com cogumelos na actifry,carne,porco,ambos,54.0,,0,"[""sem avaliações, tratada como opção neutra""]",1,post_apply_update,recipe_replaced,26,Bacalhau com legumes (revista robot de cozinha),accepted_with_recipe_change,0,1,0
44,5c4979b2-424d-442d-adfa-2eed69a018c9,1,2026-04-19,2026-04-26,"[""almoco"", ""jantar""]",1,2026-04-24,jantar,4,0,suggest,31,Massinha de Peixe,peixe,peixe,ambos,54.0,,0,"[""sem avaliações, tratada como opção neutra""]",1,post_apply_update,recipe_replaced,29,Rolo de carne do Lidl,accepted_with_recipe_change,0,1,0
45,5c4979b2-424d-442d-adfa-2eed69a018c9,1,2026-04-19,2026-04-26,"[""almoco"", ""jantar""]",1,2026-04-25,almoco,5,1,suggest,35,Carne guisada com massa,carne,vaca,ambos,54.0,,0,"[""sem avaliações, tratada como opção neutra""]",0,,,35,Carne guisada com massa,accepted_as_suggested,1,0,0
46,5c4979b2-424d-442d-adfa-2eed69a018c9,1,2026-04-19,2026-04-26,"[""almoco"", ""jantar""]",1,2026-04-25,jantar,5,1,suggest,42,Peixe assado no forno,peixe,peixe,ambos,54.0,,0,"[""sem avaliações, tratada como opção neutra""]",0,,,42,Peixe assado no forno,accepted_as_suggested,1,0,0
47,5c4979b2-424d-442d-adfa-2eed69a018c9,1,2026-04-19,2026-04-26,"[""almoco"", ""jantar""]",1,2026-04-26,almoco,6,1,suggest,38,Ervilhas com ovos,carne,ovos,ambos,54.0,,0,"[""sem avaliações, tratada como opção neutra""]",1,post_apply_delete,deleted,,,deleted_after_apply,0,0,1
48,5c4979b2-424d-442d-adfa-2eed69a018c9,1,2026-04-19,2026-04-26,"[""almoco"", ""jantar""]",1,2026-04-26,jantar,6,1,suggest,11,Peixe cozido,peixe,peixe,ambos,54.0,,0,"[""sem avaliações, tratada como opção neutra""]",1,post_apply_delete,deleted,,,deleted_after_apply,0,0,1
